run,step,ema_tau
align_teacher_a09,70300,0.9
align_teacher_a09,70400,0.9
align_teacher_a09,70500,0.9
align_teacher_a09,70600,0.9
align_teacher_a09,70700,0.9
align_teacher_a09,70800,0.9
align_teacher_a09,70900,0.9
align_teacher_a09,71000,0.9
align_teacher_a09,71100,0.9
align_teacher_a09,71200,0.9
align_teacher_a09,71300,0.9
align_teacher_a09,71400,0.9
align_teacher_a09,71500,0.9
align_teacher_a09,71600,0.9
align_teacher_a09,71700,0.9
align_teacher_a09,71800,0.9
align_teacher_a09,71900,0.9
align_teacher_a09,72000,0.9
align_teacher_a09,72100,0.9
align_teacher_a09,72200,0.9
align_teacher_a09,72300,0.9
align_teacher_a09,72400,0.9
align_teacher_a09,72500,0.9
align_teacher_a09,72600,0.9
align_teacher_a09,72700,0.9
align_teacher_a09,72800,0.9
align_teacher_a09,72900,0.9
align_teacher_a09,73000,0.9
align_teacher_a09,73100,0.9
align_teacher_a09,73200,0.9
align_teacher_a09,73300,0.9
align_teacher_a09,73400,0.9
align_teacher_a09,73500,0.9
align_teacher_a09,73600,0.9
align_teacher_a09,73700,0.9
align_teacher_a09,73800,0.9
align_teacher_a09,73900,0.9
align_teacher_a09,74000,0.9
align_teacher_a09,74100,0.9
align_teacher_a09,74200,0.9
align_teacher_a09,74300,0.9
align_teacher_a09,74400,0.9
align_teacher_a09,74500,0.9
align_teacher_a09,74600,0.9
align_teacher_a09,74700,0.9
align_teacher_a09,74800,0.9
align_teacher_a09,74900,0.9
align_teacher_a09,75000,0.9
align_teacher_a09,75100,0.9
align_teacher_a09,75200,0.9
align_teacher_a09,75300,0.9
align_teacher_a09,75400,0.9
align_teacher_a09,75500,0.9
align_teacher_a09,75600,0.9
align_teacher_a09,75700,0.9
align_teacher_a09,75800,0.9
align_teacher_a09,75900,0.9
align_teacher_a09,76000,0.9
align_teacher_a09,76100,0.9
align_teacher_a09,76200,0.9
align_teacher_a09,76300,0.9
align_teacher_a09,76400,0.9
align_teacher_a09,76500,0.9
align_teacher_a09,76600,0.9
align_teacher_a09,76700,0.9
align_teacher_a09,76800,0.9
align_teacher_a09,76900,0.9
align_teacher_a09,77000,0.9
align_teacher_a09,77100,0.9
align_teacher_a09,77200,0.9
align_teacher_a09,77300,0.9
align_teacher_a09,77400,0.9
align_teacher_a09,77500,0.9
align_teacher_a09,77600,0.9
align_teacher_a09,77700,0.9
align_teacher_a09,77800,0.9
align_teacher_a09,77900,0.9
align_teacher_a09,78000,0.9
align_teacher_a09,78100,0.9
align_teacher_a09,78200,0.9
align_teacher_a09,78300,0.9
align_teacher_a09,78400,0.9
align_teacher_a09,78500,0.9
align_teacher_a09,78600,0.9
align_teacher_a09,78700,0.9
align_teacher_a09,78800,0.9
align_teacher_a09,78900,0.9
align_teacher_a09,79000,0.9
align_teacher_a09,79100,0.9
align_teacher_a09,79200,0.9
align_teacher_a09,79300,0.9
align_teacher_a09,79400,0.9
align_teacher_a09,79500,0.9
align_teacher_a09,79600,0.9
align_teacher_a09,79700,0.9
align_teacher_a09,79800,0.9
align_teacher_a09,79900,0.9
align_teacher_a09,80000,0.9
align_teacher_a09,80100,0.9
align_teacher_a09,80200,0.9
align_teacher_a09,80300,0.9
align_teacher_a09,80400,0.9
align_teacher_a09,80500,0.9
align_teacher_a09,80600,0.9
align_teacher_a09,80700,0.9
align_teacher_a09,80800,0.9
align_teacher_a09,80900,0.9
align_teacher_a09,81000,0.9
align_teacher_a09,81100,0.9
align_teacher_a09,81200,0.9
align_teacher_a09,81300,0.9
align_teacher_a09,81400,0.9
align_teacher_a09,81500,0.9
align_teacher_a09,81600,0.9
align_teacher_a09,81700,0.9
align_teacher_a09,81800,0.9
align_teacher_a09,81900,0.9
align_teacher_a09,82000,0.9
align_teacher_a09,82100,0.9
align_teacher_a09,82200,0.9
align_teacher_a09,82300,0.9
align_teacher_a09,82400,0.9
align_teacher_a09,82500,0.9
align_teacher_a09,82600,0.9
align_teacher_a09,82700,0.9
align_teacher_a09,82800,0.9
align_teacher_a09,82900,0.9
align_teacher_a09,83000,0.9
align_teacher_a09,83100,0.9
align_teacher_a09,83200,0.9
align_teacher_a09,83300,0.9
align_teacher_a09,83400,0.9
align_teacher_a09,83500,0.9
align_teacher_a09,83600,0.9
align_teacher_a09,83700,0.9
align_teacher_a09,83800,0.9
align_teacher_a09,83900,0.9
align_teacher_a09,84000,0.9
align_teacher_a09,84100,0.9
align_teacher_a09,84200,0.9
align_teacher_a09,84300,0.9
align_teacher_a09,84400,0.9
align_teacher_a09,84500,0.9
align_teacher_a09,84600,0.9
align_teacher_a09,84700,0.9
align_teacher_a09,84800,0.9
align_teacher_a09,84900,0.9
align_teacher_a09,85000,0.9
align_teacher_a09,85100,0.9
align_teacher_a09,85200,0.9
align_teacher_a09,85300,0.9
align_teacher_a09,85400,0.9
align_teacher_a09,85500,0.9
align_teacher_a09,85600,0.9
align_teacher_a09,85700,0.9
align_teacher_a09,85800,0.9
align_teacher_a09,85900,0.9
align_teacher_a09,86000,0.9
align_teacher_a09,86100,0.9
align_teacher_a09,86200,0.9
align_teacher_a09,86300,0.9
align_teacher_a09,86400,0.9
align_teacher_a09,86500,0.9
align_teacher_a09,86600,0.9
align_teacher_a09,86700,0.9
align_teacher_a09,86800,0.9
align_teacher_a09,86900,0.9
align_teacher_a09,87000,0.9
align_teacher_a09,87100,0.9
align_teacher_a09,87200,0.9
