run,arm,alpha,latent,kind,step,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
sigreg_e,sigreg_e,none,student_h,vs_initial,20000,5000,15000,0.377741,0.246950,0.130791,0.602995
sigreg_e,sigreg_e,none,student_h,adjacent,25000,20000,5000,0.063682,0.054199,0.009483,0.915627
sigreg_e,sigreg_e,none,student_h,vs_initial,25000,5000,20000,0.450314,0.288087,0.162227,0.534988
sigreg_e,sigreg_e,none,student_h,adjacent,30000,25000,5000,0.045926,0.039276,0.006650,0.941653
sigreg_e,sigreg_e,none,student_h,vs_initial,30000,5000,25000,0.487157,0.298541,0.188616,0.519364
sigreg_e,sigreg_e,none,student_h,adjacent,35000,30000,5000,0.047563,0.040335,0.007228,0.925829
sigreg_e,sigreg_e,none,student_h,vs_initial,35000,5000,30000,0.531410,0.315902,0.215508,0.482232
sigreg_e,sigreg_e,none,student_h,adjacent,40000,35000,5000,0.043181,0.036574,0.006607,0.932510
sigreg_e,sigreg_e,none,student_h,vs_initial,40000,5000,35000,0.556145,0.322546,0.233599,0.463335
sigreg_e,sigreg_e,none,student_h,adjacent,45000,40000,5000,0.042479,0.037186,0.005292,0.926612
sigreg_e,sigreg_e,none,student_h,vs_initial,45000,5000,40000,0.589282,0.343060,0.246223,0.406201
sigreg_e,sigreg_e,none,student_h,adjacent,50000,45000,5000,0.049602,0.042444,0.007158,0.930660
sigreg_e,sigreg_e,none,student_h,vs_initial,50000,5000,45000,0.606514,0.347445,0.259069,0.395368
sigreg_e,sigreg_e,none,student_h,adjacent,55000,50000,5000,0.029872,0.026730,0.003142,0.950001
sigreg_e,sigreg_e,none,student_h,vs_initial,55000,5000,50000,0.616792,0.353776,0.263016,0.386191
sigreg_e,sigreg_e,none,student_h,adjacent,60000,55000,5000,0.036752,0.033442,0.003310,0.936335
sigreg_e,sigreg_e,none,student_h,vs_initial,60000,5000,55000,0.618919,0.352834,0.266085,0.388642
sigreg_e,sigreg_e,none,student_h,adjacent,65000,60000,5000,0.041047,0.037170,0.003877,0.930507
sigreg_e,sigreg_e,none,student_h,vs_initial,65000,5000,60000,0.630267,0.354279,0.275988,0.381669
sigreg_e,sigreg_e,none,student_h,adjacent,70000,65000,5000,0.055883,0.052777,0.003106,0.911056
sigreg_e,sigreg_e,none,student_h,vs_initial,70000,5000,65000,0.633287,0.360111,0.273176,0.378394
sigreg_e,sigreg_e,none,student_h,adjacent,75000,70000,5000,0.034430,0.032412,0.002018,0.946578
sigreg_e,sigreg_e,none,student_h,vs_initial,75000,5000,70000,0.637780,0.356737,0.281043,0.386085
sigreg_e,sigreg_e,none,student_h,adjacent,80000,75000,5000,0.031212,0.028396,0.002817,0.951364
sigreg_e,sigreg_e,none,student_h,vs_initial,80000,5000,75000,0.645469,0.362969,0.282501,0.371440
sigreg_e,sigreg_e,none,student_h,adjacent,85000,80000,5000,0.031487,0.028893,0.002594,0.952065
sigreg_e,sigreg_e,none,student_h,vs_initial,85000,5000,80000,0.639685,0.353486,0.286199,0.387595
sigreg_e,sigreg_e,none,student_h,adjacent,90000,85000,5000,0.037855,0.035109,0.002747,0.936925
sigreg_e,sigreg_e,none,student_h,vs_initial,90000,5000,85000,0.639187,0.360665,0.278522,0.377857
sigreg_e,sigreg_e,none,student_h,adjacent,95000,90000,5000,0.030949,0.028906,0.002043,0.941903
sigreg_e,sigreg_e,none,student_h,vs_initial,95000,5000,90000,0.644819,0.363136,0.281683,0.376449
sigreg_e,sigreg_e,none,student_h,adjacent,100000,95000,5000,0.052133,0.047832,0.004301,0.918197
sigreg_e,sigreg_e,none,student_h,vs_initial,100000,5000,95000,0.658997,0.362679,0.296318,0.373384
sigreg_h,sigreg_h,none,student_h,adjacent,10000,5000,5000,0.716188,0.456436,0.259752,0.400166
sigreg_h,sigreg_h,none,student_h,vs_initial,10000,5000,5000,0.716188,0.456436,0.259752,0.400166
sigreg_h,sigreg_h,none,student_h,adjacent,15000,10000,5000,0.539997,0.426656,0.113340,0.418533
sigreg_h,sigreg_h,none,student_h,vs_initial,15000,5000,10000,0.849599,0.528802,0.320797,0.295788
sigreg_h,sigreg_h,none,student_h,adjacent,20000,15000,5000,0.422347,0.332169,0.090178,0.533372
sigreg_h,sigreg_h,none,student_h,vs_initial,20000,5000,15000,0.889635,0.541955,0.347679,0.302929
sigreg_h,sigreg_h,none,student_h,adjacent,25000,20000,5000,0.389946,0.325714,0.064233,0.569020
sigreg_h,sigreg_h,none,student_h,vs_initial,25000,5000,20000,0.920080,0.585654,0.334425,0.260689
sigreg_h,sigreg_h,none,student_h,adjacent,30000,25000,5000,0.504139,0.459560,0.044579,0.376463
sigreg_h,sigreg_h,none,student_h,vs_initial,30000,5000,25000,0.931475,0.596283,0.335192,0.222377
sigreg_h,sigreg_h,none,student_h,adjacent,35000,30000,5000,0.510271,0.468260,0.042011,0.360070
sigreg_h,sigreg_h,none,student_h,vs_initial,35000,5000,30000,0.946469,0.603768,0.342701,0.233734
sigreg_h,sigreg_h,none,student_h,adjacent,40000,35000,5000,0.390475,0.324488,0.065988,0.562865
sigreg_h,sigreg_h,none,student_h,vs_initial,40000,5000,35000,0.945837,0.636836,0.309001,0.178526
sigreg_h,sigreg_h,none,student_h,adjacent,45000,40000,5000,0.594600,0.562748,0.031852,0.259408
sigreg_h,sigreg_h,none,student_h,vs_initial,45000,5000,40000,0.955436,0.626011,0.329425,0.198742
sigreg_h,sigreg_h,none,student_h,adjacent,50000,45000,5000,0.511635,0.470539,0.041096,0.372785
sigreg_h,sigreg_h,none,student_h,vs_initial,50000,5000,45000,0.941079,0.614383,0.326696,0.224533
sigreg_h,sigreg_h,none,student_h,adjacent,55000,50000,5000,0.419113,0.381634,0.037479,0.484882
sigreg_h,sigreg_h,none,student_h,vs_initial,55000,5000,50000,0.953013,0.606520,0.346494,0.217425
sigreg_h,sigreg_h,none,student_h,adjacent,60000,55000,5000,0.359097,0.312375,0.046722,0.567392
sigreg_h,sigreg_h,none,student_h,vs_initial,60000,5000,55000,0.933927,0.568679,0.365248,0.280847
sigreg_h,sigreg_h,none,student_h,adjacent,65000,60000,5000,0.206385,0.170421,0.035964,0.784109
sigreg_h,sigreg_h,none,student_h,vs_initial,65000,5000,60000,0.950160,0.566146,0.384015,0.281031
sigreg_h,sigreg_h,none,student_h,adjacent,70000,65000,5000,0.331539,0.299735,0.031803,0.585094
sigreg_h,sigreg_h,none,student_h,vs_initial,70000,5000,65000,0.950775,0.599615,0.351160,0.227284
sigreg_h,sigreg_h,none,student_h,adjacent,75000,70000,5000,0.349942,0.314503,0.035439,0.582837
sigreg_h,sigreg_h,none,student_h,vs_initial,75000,5000,70000,0.950950,0.584890,0.366060,0.262786
sigreg_h,sigreg_h,none,student_h,adjacent,80000,75000,5000,0.278470,0.236940,0.041531,0.715658
sigreg_h,sigreg_h,none,student_h,vs_initial,80000,5000,75000,0.948758,0.621268,0.327490,0.215100
sigreg_h,sigreg_h,none,student_h,adjacent,85000,80000,5000,0.244410,0.203597,0.040813,0.762648
sigreg_h,sigreg_h,none,student_h,vs_initial,85000,5000,80000,0.962849,0.623213,0.339636,0.221225
sigreg_h,sigreg_h,none,student_h,adjacent,90000,85000,5000,0.346129,0.309137,0.036993,0.628015
sigreg_h,sigreg_h,none,student_h,vs_initial,90000,5000,85000,0.960746,0.600396,0.360351,0.245805
sigreg_h,sigreg_h,none,student_h,adjacent,95000,90000,5000,0.459675,0.419865,0.039809,0.445885
sigreg_h,sigreg_h,none,student_h,vs_initial,95000,5000,90000,0.967075,0.642491,0.324584,0.196940
sigreg_h,sigreg_h,none,student_h,adjacent,100000,95000,5000,0.378939,0.347798,0.031141,0.546558
sigreg_h,sigreg_h,none,student_h,vs_initial,100000,5000,95000,0.975632,0.655896,0.319736,0.168156
cpc,cpc,none,student_h,adjacent,10000,5000,5000,0.702698,0.548529,0.154169,0.313155
cpc,cpc,none,student_h,vs_initial,10000,5000,5000,0.702698,0.548529,0.154169,0.313155
cpc,cpc,none,student_h,adjacent,15000,10000,5000,0.659234,0.442102,0.217131,0.393637
cpc,cpc,none,student_h,vs_initial,15000,5000,10000,0.566243,0.402650,0.163592,0.518599
cpc,cpc,none,student_h,adjacent,20000,15000,5000,0.707700,0.511233,0.196467,0.500810
cpc,cpc,none,student_h,vs_initial,20000,5000,15000,0.722618,0.584830,0.137788,0.390994
cpc,cpc,none,student_h,adjacent,25000,20000,5000,0.588338,0.469571,0.118768,0.545383
cpc,cpc,none,student_h,vs_initial,25000,5000,20000,0.628916,0.428701,0.200215,0.574535
cpc,cpc,none,student_h,adjacent,30000,25000,5000,0.418172,0.312622,0.105550,0.625492
cpc,cpc,none,student_h,vs_initial,30000,5000,25000,0.617647,0.438998,0.178649,0.440862
cpc,cpc,none,student_h,adjacent,35000,30000,5000,0.696440,0.352497,0.343944,0.568569
cpc,cpc,none,student_h,vs_initial,35000,5000,30000,0.767411,0.488596,0.278815,0.477292
cpc,cpc,none,student_h,adjacent,40000,35000,5000,0.422211,0.138435,0.283776,0.838403
cpc,cpc,none,student_h,vs_initial,40000,5000,35000,0.914207,0.506844,0.407363,0.408544
cpc,cpc,none,student_h,adjacent,45000,40000,5000,0.476023,0.404020,0.072003,0.629188
cpc,cpc,none,student_h,vs_initial,45000,5000,40000,0.904676,0.652472,0.252204,0.260531
cpc,cpc,none,student_h,adjacent,50000,45000,5000,0.711921,0.547047,0.164874,0.425268
cpc,cpc,none,student_h,vs_initial,50000,5000,45000,0.861403,0.634396,0.227007,0.270978
cpc,cpc,none,student_h,adjacent,55000,50000,5000,0.725668,0.397288,0.328380,0.622202
cpc,cpc,none,student_h,vs_initial,55000,5000,50000,0.825572,0.470846,0.354726,0.413507
cpc,cpc,none,student_h,adjacent,60000,55000,5000,0.508207,0.189029,0.319178,0.867225
cpc,cpc,none,student_h,vs_initial,60000,5000,55000,0.944953,0.564128,0.380824,0.341549
cpc,cpc,none,student_h,adjacent,65000,60000,5000,0.267527,0.049538,0.217989,0.974629
cpc,cpc,none,student_h,vs_initial,65000,5000,60000,0.911467,0.549490,0.361977,0.347959
cpc,cpc,none,student_h,adjacent,70000,65000,5000,0.645811,0.139356,0.506455,0.909916
cpc,cpc,none,student_h,vs_initial,70000,5000,65000,0.869157,0.578473,0.290684,0.391392
cpc,cpc,none,student_h,adjacent,75000,70000,5000,1.051529,0.154806,0.896724,0.903124
cpc,cpc,none,student_h,vs_initial,75000,5000,70000,0.852339,0.529226,0.323113,0.375460
cpc,cpc,none,student_h,adjacent,80000,75000,5000,0.335121,0.141679,0.193442,0.907661
cpc,cpc,none,student_h,vs_initial,80000,5000,75000,0.830587,0.517465,0.313122,0.399384
cpc,cpc,none,student_h,adjacent,85000,80000,5000,0.873764,0.417289,0.456474,0.640304
cpc,cpc,none,student_h,vs_initial,85000,5000,80000,0.986842,0.527607,0.459234,0.334592
cpc,cpc,none,student_h,adjacent,90000,85000,5000,0.881949,0.471845,0.410104,0.549889
cpc,cpc,none,student_h,vs_initial,90000,5000,85000,0.770667,0.533884,0.236783,0.375591
cpc,cpc,none,student_h,adjacent,95000,90000,5000,0.665937,0.315066,0.350871,0.763386
cpc,cpc,none,student_h,vs_initial,95000,5000,90000,0.776603,0.518424,0.258179,0.391769
cpc,cpc,none,student_h,adjacent,100000,95000,5000,0.439878,0.253029,0.186849,0.828705
cpc,cpc,none,student_h,vs_initial,100000,5000,95000,0.875271,0.521247,0.354024,0.383439
pred_moco,pred_moco,const_0.9,student_h,adjacent,10000,5000,5000,0.460542,0.319369,0.141173,0.378559
pred_moco,pred_moco,const_0.9,student_h,vs_initial,10000,5000,5000,0.460542,0.319369,0.141173,0.378559
pred_moco,pred_moco,const_0.9,teacher_h,adjacent,10000,5000,5000,0.451231,0.314698,0.136533,0.380848
pred_moco,pred_moco,const_0.9,teacher_h,vs_initial,10000,5000,5000,0.451231,0.314698,0.136533,0.380848
pred_moco,pred_moco,const_0.9,student_h,adjacent,15000,10000,5000,0.484990,0.329374,0.155617,0.340829
pred_moco,pred_moco,const_0.9,student_h,vs_initial,15000,5000,10000,0.696073,0.408519,0.287554,0.236210
pred_moco,pred_moco,const_0.9,teacher_h,adjacent,15000,10000,5000,0.490702,0.329493,0.161209,0.338431
pred_moco,pred_moco,const_0.9,teacher_h,vs_initial,15000,5000,10000,0.696615,0.410643,0.285972,0.237411
pred_moco,pred_moco,const_0.9,student_h,adjacent,20000,15000,5000,0.462824,0.351633,0.111190,0.318226
pred_moco,pred_moco,const_0.9,student_h,vs_initial,20000,5000,15000,0.771540,0.447807,0.323733,0.195323
pred_moco,pred_moco,const_0.9,teacher_h,adjacent,20000,15000,5000,0.456800,0.348842,0.107958,0.325777
pred_moco,pred_moco,const_0.9,teacher_h,vs_initial,20000,5000,15000,0.776674,0.445852,0.330822,0.196574
pred_moco,pred_moco,const_0.9,student_h,adjacent,25000,20000,5000,0.439104,0.329849,0.109255,0.357563
pred_moco,pred_moco,const_0.9,student_h,vs_initial,25000,5000,20000,0.823975,0.452063,0.371912,0.191888
pred_moco,pred_moco,const_0.9,teacher_h,adjacent,25000,20000,5000,0.435008,0.327993,0.107015,0.357209
pred_moco,pred_moco,const_0.9,teacher_h,vs_initial,25000,5000,20000,0.820794,0.450156,0.370638,0.193026
pred_moco,pred_moco,const_0.9,student_h,adjacent,30000,25000,5000,0.432746,0.337204,0.095542,0.346409
pred_moco,pred_moco,const_0.9,student_h,vs_initial,30000,5000,25000,0.851094,0.480669,0.370425,0.174453
pred_moco,pred_moco,const_0.9,teacher_h,adjacent,30000,25000,5000,0.422156,0.335810,0.086346,0.345238
pred_moco,pred_moco,const_0.9,teacher_h,vs_initial,30000,5000,25000,0.846185,0.480112,0.366074,0.174073
pred_moco,pred_moco,const_0.9,student_h,adjacent,35000,30000,5000,0.414690,0.313227,0.101463,0.404928
pred_moco,pred_moco,const_0.9,student_h,vs_initial,35000,5000,30000,0.872243,0.467819,0.404424,0.171797
pred_moco,pred_moco,const_0.9,teacher_h,adjacent,35000,30000,5000,0.409183,0.310337,0.098845,0.408634
pred_moco,pred_moco,const_0.9,teacher_h,vs_initial,35000,5000,30000,0.876852,0.464280,0.412572,0.174784
pred_moco,pred_moco,const_0.9,student_h,adjacent,40000,35000,5000,0.439872,0.321000,0.118872,0.364820
pred_moco,pred_moco,const_0.9,student_h,vs_initial,40000,5000,35000,0.931105,0.477263,0.453842,0.162334
pred_moco,pred_moco,const_0.9,teacher_h,adjacent,40000,35000,5000,0.430082,0.317607,0.112476,0.369801
pred_moco,pred_moco,const_0.9,teacher_h,vs_initial,40000,5000,35000,0.935063,0.477631,0.457432,0.164451
pred_moco,pred_moco,const_0.9,student_h,adjacent,45000,40000,5000,0.358035,0.276840,0.081195,0.438751
pred_moco,pred_moco,const_0.9,student_h,vs_initial,45000,5000,40000,0.922467,0.473274,0.449193,0.174578
pred_moco,pred_moco,const_0.9,teacher_h,adjacent,45000,40000,5000,0.356230,0.276939,0.079291,0.440402
pred_moco,pred_moco,const_0.9,teacher_h,vs_initial,45000,5000,40000,0.924389,0.476020,0.448370,0.173016
pred_moco,pred_moco,const_0.9,student_h,adjacent,50000,45000,5000,0.363333,0.282108,0.081226,0.429994
pred_moco,pred_moco,const_0.9,student_h,vs_initial,50000,5000,45000,0.905858,0.470434,0.435424,0.172971
pred_moco,pred_moco,const_0.9,teacher_h,adjacent,50000,45000,5000,0.356056,0.280112,0.075944,0.432804
pred_moco,pred_moco,const_0.9,teacher_h,vs_initial,50000,5000,45000,0.910413,0.468329,0.442084,0.176013
pred_moco,pred_moco,const_0.9,student_h,adjacent,55000,50000,5000,0.405875,0.316988,0.088888,0.357914
pred_moco,pred_moco,const_0.9,student_h,vs_initial,55000,5000,50000,0.895770,0.465509,0.430261,0.179483
pred_moco,pred_moco,const_0.9,teacher_h,adjacent,55000,50000,5000,0.399194,0.310875,0.088319,0.367759
pred_moco,pred_moco,const_0.9,teacher_h,vs_initial,55000,5000,50000,0.898268,0.465160,0.433109,0.181434
pred_moco,pred_moco,const_0.9,student_h,adjacent,60000,55000,5000,0.373897,0.287388,0.086510,0.400534
pred_moco,pred_moco,const_0.9,student_h,vs_initial,60000,5000,55000,0.932343,0.449729,0.482614,0.197645
pred_moco,pred_moco,const_0.9,teacher_h,adjacent,60000,55000,5000,0.373518,0.286299,0.087219,0.405547
pred_moco,pred_moco,const_0.9,teacher_h,vs_initial,60000,5000,55000,0.933568,0.452100,0.481468,0.199694
