step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
24000,teacher_h,adjacent,23500,500,0.000438,0.000104,0.000335,0.949071
24000,teacher_h,vs_initial,0,24000,0.885158,0.680422,0.204737,0.030920
24500,student_h,adjacent,24000,500,0.000638,0.000123,0.000514,0.948849
24500,student_h,vs_initial,0,24500,0.887665,0.680419,0.207246,0.029468
24500,teacher_h,adjacent,24000,500,0.000512,0.000108,0.000404,0.952108
24500,teacher_h,vs_initial,0,24500,0.887725,0.680479,0.207246,0.030753
25000,student_h,adjacent,24500,500,0.000508,0.000113,0.000396,0.955038
25000,student_h,vs_initial,0,25000,0.890590,0.680757,0.209833,0.030629
25000,teacher_h,adjacent,24500,500,0.000559,0.000100,0.000458,0.957255
25000,teacher_h,vs_initial,0,25000,0.890336,0.680584,0.209751,0.029994
25500,student_h,adjacent,25000,500,0.000740,0.000131,0.000608,0.950485
25500,student_h,vs_initial,0,25500,0.892883,0.680246,0.212637,0.028045
25500,teacher_h,adjacent,25000,500,0.000676,0.000119,0.000557,0.950946
25500,teacher_h,vs_initial,0,25500,0.892894,0.680305,0.212589,0.027881
26000,student_h,adjacent,25500,500,0.000497,0.000121,0.000376,0.951725
26000,student_h,vs_initial,0,26000,0.894704,0.680264,0.214439,0.030477
26000,teacher_h,adjacent,25500,500,0.000464,0.000118,0.000347,0.951400
26000,teacher_h,vs_initial,0,26000,0.895194,0.680221,0.214972,0.028626
26500,student_h,adjacent,26000,500,0.000882,0.000141,0.000741,0.943852
26500,student_h,vs_initial,0,26500,0.898377,0.679995,0.218383,0.023739
26500,teacher_h,adjacent,26000,500,0.000784,0.000129,0.000654,0.948027
26500,teacher_h,vs_initial,0,26500,0.898441,0.680030,0.218411,0.023286
27000,student_h,adjacent,26500,500,0.000712,0.000147,0.000565,0.938936
27000,student_h,vs_initial,0,27000,0.900650,0.679974,0.220676,0.021862
27000,teacher_h,adjacent,26500,500,0.000582,0.000137,0.000445,0.942609
27000,teacher_h,vs_initial,0,27000,0.901049,0.680012,0.221037,0.021808
27500,student_h,adjacent,27000,500,0.000638,0.000115,0.000523,0.979175
27500,student_h,vs_initial,0,27500,0.901866,0.679594,0.222272,0.020629
27500,teacher_h,adjacent,27000,500,0.000642,0.000110,0.000532,0.977920
27500,teacher_h,vs_initial,0,27500,0.902095,0.679724,0.222372,0.020314
28000,student_h,adjacent,27500,500,0.000807,0.000157,0.000651,0.969144
28000,student_h,vs_initial,0,28000,0.904899,0.680030,0.224869,0.020615
28000,teacher_h,adjacent,27500,500,0.000773,0.000147,0.000626,0.969988
28000,teacher_h,vs_initial,0,28000,0.904867,0.680028,0.224839,0.020671
28500,student_h,adjacent,28000,500,0.000731,0.000116,0.000615,0.973049
28500,student_h,vs_initial,0,28500,0.907375,0.679995,0.227380,0.019297
28500,teacher_h,adjacent,28000,500,0.000635,0.000115,0.000520,0.972193
28500,teacher_h,vs_initial,0,28500,0.907244,0.679982,0.227263,0.019085
29000,student_h,adjacent,28500,500,0.001046,0.000136,0.000910,0.973035
29000,student_h,vs_initial,0,29000,0.910619,0.680114,0.230505,0.016944
29000,teacher_h,adjacent,28500,500,0.000884,0.000118,0.000766,0.975637
29000,teacher_h,vs_initial,0,29000,0.910746,0.680115,0.230631,0.016787
29500,student_h,adjacent,29000,500,0.000727,0.000178,0.000550,0.963393
29500,student_h,vs_initial,0,29500,0.911931,0.679689,0.232241,0.018286
29500,teacher_h,adjacent,29000,500,0.000648,0.000163,0.000485,0.965760
29500,teacher_h,vs_initial,0,29500,0.912092,0.679836,0.232256,0.017577
30000,student_h,adjacent,29500,500,0.000715,0.000186,0.000530,0.968246
30000,student_h,vs_initial,0,30000,0.913699,0.679905,0.233794,0.018080
30000,teacher_h,adjacent,29500,500,0.000620,0.000164,0.000456,0.973182
30000,teacher_h,vs_initial,0,30000,0.913864,0.679972,0.233892,0.017642
30500,student_h,adjacent,30000,500,0.000633,0.000151,0.000482,0.968171
30500,student_h,vs_initial,0,30500,0.914803,0.679679,0.235124,0.019222
30500,teacher_h,adjacent,30000,500,0.000668,0.000142,0.000526,0.969185
30500,teacher_h,vs_initial,0,30500,0.915066,0.679646,0.235420,0.018522
31000,student_h,adjacent,30500,500,0.000872,0.000163,0.000709,0.960381
31000,student_h,vs_initial,0,31000,0.918699,0.679574,0.239125,0.019182
31000,teacher_h,adjacent,30500,500,0.000702,0.000146,0.000556,0.966053
31000,teacher_h,vs_initial,0,31000,0.918473,0.679646,0.238828,0.019229
31500,student_h,adjacent,31000,500,0.000785,0.000176,0.000609,0.964503
31500,student_h,vs_initial,0,31500,0.918151,0.679104,0.239047,0.017848
31500,teacher_h,adjacent,31000,500,0.000651,0.000165,0.000487,0.967081
31500,teacher_h,vs_initial,0,31500,0.918180,0.679216,0.238964,0.017648
32000,student_h,adjacent,31500,500,0.000857,0.000223,0.000634,0.957527
32000,student_h,vs_initial,0,32000,0.920708,0.679064,0.241644,0.017103
32000,teacher_h,adjacent,31500,500,0.000680,0.000196,0.000484,0.961469
32000,teacher_h,vs_initial,0,32000,0.920532,0.679226,0.241305,0.016383
