cell,leg,step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
arm6_v2_combab_alignS,leg_100k,80000,teacher_h,adjacent,60000,20000,0.329401,0.098135,0.231266,0.781237
arm6_v2_combab_alignS,leg_100k,80000,teacher_h,vs_initial,40000,40000,0.627348,0.122616,0.504732,0.771537
arm6_v2_combab_alignS,leg_100k,100000,student_h,adjacent,80000,20000,0.265305,0.076511,0.188794,0.831481
arm6_v2_combab_alignS,leg_100k,100000,student_h,vs_initial,40000,60000,0.745713,0.155087,0.590626,0.681107
arm6_v2_combab_alignS,leg_100k,100000,teacher_h,adjacent,80000,20000,0.238376,0.055497,0.182880,0.871962
arm6_v2_combab_alignS,leg_100k,100000,teacher_h,vs_initial,40000,60000,0.726487,0.149688,0.576800,0.693170
arm6_v2_combab_alignT,leg_40k,20000,student_h,adjacent,0,20000,0.844056,0.447290,0.396766,0.374789
arm6_v2_combab_alignT,leg_40k,20000,teacher_h,adjacent,0,20000,0.841741,0.440108,0.401634,0.375086
arm6_v2_combab_alignT,leg_40k,40000,student_h,adjacent,20000,20000,0.593478,0.402400,0.191078,0.357874
arm6_v2_combab_alignT,leg_40k,40000,student_h,vs_initial,0,40000,0.930812,0.526381,0.404431,0.246127
arm6_v2_combab_alignT,leg_40k,40000,teacher_h,adjacent,20000,20000,0.594957,0.400633,0.194324,0.364986
arm6_v2_combab_alignT,leg_40k,40000,teacher_h,vs_initial,0,40000,0.931759,0.525132,0.406627,0.251892
arm6_v2_combab_alignT,leg_100k,60000,student_h,adjacent,40000,20000,0.543380,0.338881,0.204499,0.447680
arm6_v2_combab_alignT,leg_100k,60000,teacher_h,adjacent,40000,20000,0.546985,0.331647,0.215338,0.456968
arm6_v2_combab_alignT,leg_100k,80000,student_h,adjacent,60000,20000,0.417489,0.271032,0.146457,0.430745
arm6_v2_combab_alignT,leg_100k,80000,student_h,vs_initial,40000,40000,0.662034,0.415327,0.246707,0.258696
arm6_v2_combab_alignT,leg_100k,80000,teacher_h,adjacent,60000,20000,0.424515,0.273906,0.150609,0.442442
arm6_v2_combab_alignT,leg_100k,80000,teacher_h,vs_initial,40000,40000,0.670955,0.406076,0.264880,0.279385
arm6_v2_combab_alignT,leg_100k,100000,student_h,adjacent,80000,20000,0.403856,0.250851,0.153005,0.402275
arm6_v2_combab_alignT,leg_100k,100000,student_h,vs_initial,40000,60000,0.626402,0.352393,0.274009,0.440423
