arm,step,one_minus_ff
pred,925,0.096909
pred,926,0.098535
pred,927,0.104094
pred,928,0.095884
pred,929,0.097418
pred,930,0.095178
pred,931,0.095093
pred,932,0.095628
pred,933,0.094158
pred,934,0.098387
pred,935,0.093325
pred,936,0.096315
pred,937,0.095783
pred,938,0.097104
pred,939,0.097525
pred,940,0.096320
pred,941,0.096205
pred,942,0.096545
pred,943,0.093876
pred,944,0.097822
pred,945,0.097409
pred,946,0.093856
pred,947,0.095702
pred,948,0.096980
pred,949,0.095708
pred,950,0.094318
pred,951,0.095542
pred,952,0.097528
pred,953,0.095327
pred,954,0.090867
pred,955,0.095851
pred,956,0.094111
pred,957,0.097601
pred,958,0.098195
pred,959,0.097453
pred,960,0.097029
pred,961,0.096638
pred,962,0.095172
pred,963,0.096632
pred,964,0.094616
pred,965,0.093858
pred,966,0.094571
pred,967,0.098156
pred,968,0.095419
pred,969,0.093834
pred,970,0.096049
pred,971,0.095632
pred,972,0.096695
pred,973,0.093864
pred,974,0.095361
pred,975,0.093395
pred,976,0.095343
pred,977,0.094262
pred,978,0.096748
pred,979,0.095388
pred,980,0.096437
pred,981,0.097430
pred,982,0.094554
pred,983,0.096446
pred,984,0.094847
pred,985,0.091209
pred,986,0.092104
pred,987,0.093403
pred,988,0.092377
pred,989,0.095012
pred,990,0.093316
pred,991,0.095663
pred,992,0.094127
pred,993,0.095809
pred,994,0.091203
pred,995,0.092354
pred,996,0.094023
pred,997,0.091180
pred,998,0.093104
pred,999,0.094634
pred,1000,0.095574
pred,1001,0.091203
pred,1002,0.090357
pred,1003,0.093018
pred,1004,0.094635
pred,1005,0.092721
pred,1006,0.093740
pred,1007,0.096229
pred,1008,0.094575
pred,1009,0.096556
pred,1010,0.096708
pred,1011,0.102933
pred,1012,0.097205
pred,1013,0.095457
pred,1014,0.095811
pred,1015,0.092986
pred,1016,0.095764
pred,1017,0.098767
pred,1018,0.091670
pred,1019,0.088841
pred,1020,0.096255
pred,1021,0.093146
pred,1022,0.093811
