stop,split,name,n,gm_rel_mase
B2_k0_bb40k_student,term,medium,21,1.416316
B2_k0_bb40k_student,term,short,55,1.193971
B2_k0_bb40k_student,domain,Econ/Fin,6,2.229108
B2_k0_bb40k_student,domain,Energy,32,1.508985
B2_k0_bb40k_student,domain,Healthcare,5,1.391721
B2_k0_bb40k_student,domain,Nature,15,0.914785
B2_k0_bb40k_student,domain,Sales,4,0.815774
B2_k0_bb40k_student,domain,Transport,15,1.049854
B2_k0_bb40k_student,domain,Web/CloudOps,20,1.314481
B2_k0_bb100k_student,all,all,97,1.251431
B2_k0_bb100k_student,term,long,21,1.379353
B2_k0_bb100k_student,term,medium,21,1.417515
B2_k0_bb100k_student,term,short,55,1.149751
B2_k0_bb100k_student,domain,Econ/Fin,6,2.017026
B2_k0_bb100k_student,domain,Energy,32,1.480927
B2_k0_bb100k_student,domain,Healthcare,5,1.292528
B2_k0_bb100k_student,domain,Nature,15,0.885939
B2_k0_bb100k_student,domain,Sales,4,0.831821
B2_k0_bb100k_student,domain,Transport,15,1.058393
B2_k0_bb100k_student,domain,Web/CloudOps,20,1.309942
B2_k0_bb200k_student,all,all,97,1.185004
B2_k0_bb200k_student,term,long,21,1.382182
B2_k0_bb200k_student,term,medium,21,1.397926
B2_k0_bb200k_student,term,short,55,1.049050
B2_k0_bb200k_student,domain,Econ/Fin,6,1.488809
B2_k0_bb200k_student,domain,Energy,32,1.388259
B2_k0_bb200k_student,domain,Healthcare,5,1.260938
B2_k0_bb200k_student,domain,Nature,15,0.867262
B2_k0_bb200k_student,domain,Sales,4,0.829860
B2_k0_bb200k_student,domain,Transport,15,1.021070
B2_k0_bb200k_student,domain,Web/CloudOps,20,1.283391
B3_k0_bb40k_student,all,all,97,1.286777
B3_k0_bb40k_student,term,long,21,1.571467
B3_k0_bb40k_student,term,medium,21,1.576037
B3_k0_bb40k_student,term,short,55,1.103409
B3_k0_bb40k_student,domain,Econ/Fin,6,1.866113
B3_k0_bb40k_student,domain,Energy,32,1.533522
B3_k0_bb40k_student,domain,Healthcare,5,1.328255
B3_k0_bb40k_student,domain,Nature,15,0.899189
B3_k0_bb40k_student,domain,Sales,4,0.795297
B3_k0_bb40k_student,domain,Transport,15,1.063080
B3_k0_bb40k_student,domain,Web/CloudOps,20,1.433725
B3_k0_bb100k_student,all,all,97,1.245642
B3_k0_bb100k_student,term,long,21,1.481392
B3_k0_bb100k_student,term,medium,21,1.482309
B3_k0_bb100k_student,term,short,55,1.090955
B3_k0_bb100k_student,domain,Econ/Fin,6,1.699416
B3_k0_bb100k_student,domain,Energy,32,1.527071
B3_k0_bb100k_student,domain,Healthcare,5,1.157705
B3_k0_bb100k_student,domain,Nature,15,0.879955
B3_k0_bb100k_student,domain,Sales,4,0.770229
B3_k0_bb100k_student,domain,Transport,15,1.053028
B3_k0_bb100k_student,domain,Web/CloudOps,20,1.352056
B3_k0_bb200k_student,all,all,97,1.203361
B3_k0_bb200k_student,term,long,21,1.389803
B3_k0_bb200k_student,term,medium,21,1.430540
B3_k0_bb200k_student,term,short,55,1.066190
B3_k0_bb200k_student,domain,Econ/Fin,6,1.577836
B3_k0_bb200k_student,domain,Energy,32,1.436953
B3_k0_bb200k_student,domain,Healthcare,5,1.277671
B3_k0_bb200k_student,domain,Nature,15,0.863831
B3_k0_bb200k_student,domain,Sales,4,0.786769
B3_k0_bb200k_student,domain,Transport,15,1.029550
B3_k0_bb200k_student,domain,Web/CloudOps,20,1.291258
B4_k0_bb40k_student,all,all,97,1.272812
B4_k0_bb40k_student,term,long,21,1.477320
B4_k0_bb40k_student,term,medium,21,1.494718
B4_k0_bb40k_student,term,short,55,1.130857
B4_k0_bb40k_student,domain,Econ/Fin,6,1.721261
B4_k0_bb40k_student,domain,Energy,32,1.519237
B4_k0_bb40k_student,domain,Healthcare,5,1.242060
B4_k0_bb40k_student,domain,Nature,15,0.899834
B4_k0_bb40k_student,domain,Sales,4,0.841579
B4_k0_bb40k_student,domain,Transport,15,1.055464
B4_k0_bb40k_student,domain,Web/CloudOps,20,1.428871
B4_k0_bb100k_student,all,all,97,1.367788
B4_k0_bb100k_student,term,long,21,1.723521
B4_k0_bb100k_student,term,medium,21,1.708317
B4_k0_bb100k_student,term,short,55,1.150325
B4_k0_bb100k_student,domain,Econ/Fin,6,2.053547
B4_k0_bb100k_student,domain,Energy,32,1.657326
B4_k0_bb100k_student,domain,Healthcare,5,1.270844
B4_k0_bb100k_student,domain,Nature,15,0.961838
B4_k0_bb100k_student,domain,Sales,4,0.822890
B4_k0_bb100k_student,domain,Transport,15,1.149501
B4_k0_bb100k_student,domain,Web/CloudOps,20,1.489659
B5_k0_bb40k_student,all,all,97,1.274787
B5_k0_bb40k_student,term,long,21,1.432054
B5_k0_bb40k_student,term,medium,21,1.462879
B5_k0_bb40k_student,term,short,55,1.156980
B5_k0_bb40k_student,domain,Econ/Fin,6,1.887870
B5_k0_bb40k_student,domain,Energy,32,1.489701
B5_k0_bb40k_student,domain,Healthcare,5,1.331997
B5_k0_bb40k_student,domain,Nature,15,0.939003
B5_k0_bb40k_student,domain,Sales,4,0.867205
B5_k0_bb40k_student,domain,Transport,15,1.061722
B5_k0_bb40k_student,domain,Web/CloudOps,20,1.361018
B5_k0_bb100k_student,all,all,97,1.321913
B5_k0_bb100k_student,term,long,21,1.503316
B5_k0_bb100k_student,term,medium,21,1.511566
B5_k0_bb100k_student,term,short,55,1.195771
B5_k0_bb100k_student,domain,Econ/Fin,6,1.925542
B5_k0_bb100k_student,domain,Energy,32,1.560292
B5_k0_bb100k_student,domain,Healthcare,5,1.433885
B5_k0_bb100k_student,domain,Nature,15,0.932611
B5_k0_bb100k_student,domain,Sales,4,0.914057
B5_k0_bb100k_student,domain,Transport,15,1.129418
B5_k0_bb100k_student,domain,Web/CloudOps,20,1.396684
B6_k0_bb40k_student,all,all,97,1.362271
