stop,split,name,n,gm_rel_mase
A4_k3_bb200k_teacher,domain,Web/CloudOps,20,1.252679
A4_k3_bb40k_student,all,all,97,1.086160
A4_k3_bb40k_student,term,short,55,0.964412
A4_k3_bb40k_student,term,medium,21,1.253315
A4_k3_bb40k_student,term,long,21,1.285147
A4_k3_bb40k_student,term,medium_long,42,1.269132
A4_k3_bb40k_student,domain,Econ/Fin,6,1.173152
A4_k3_bb40k_student,domain,Energy,32,1.263850
A4_k3_bb40k_student,domain,Healthcare,5,1.081668
A4_k3_bb40k_student,domain,Nature,15,0.838545
A4_k3_bb40k_student,domain,Sales,4,0.772055
A4_k3_bb40k_student,domain,Transport,15,0.914144
A4_k3_bb40k_student,domain,Web/CloudOps,20,1.233410
A4_k3_bb40k_teacher,all,all,97,1.085496
A4_k3_bb40k_teacher,term,short,55,0.965466
A4_k3_bb40k_teacher,term,medium,21,1.259769
A4_k3_bb40k_teacher,term,long,21,1.271312
A4_k3_bb40k_teacher,term,medium_long,42,1.265527
A4_k3_bb40k_teacher,domain,Econ/Fin,6,1.164943
A4_k3_bb40k_teacher,domain,Energy,32,1.278006
A4_k3_bb40k_teacher,domain,Healthcare,5,1.079924
A4_k3_bb40k_teacher,domain,Nature,15,0.831259
A4_k3_bb40k_teacher,domain,Sales,4,0.775251
A4_k3_bb40k_teacher,domain,Transport,15,0.912300
A4_k3_bb40k_teacher,domain,Web/CloudOps,20,1.219862
B10_k3_bb100k_student,all,all,97,1.240300
B10_k3_bb100k_student,term,short,55,1.127578
B10_k3_bb100k_student,term,medium,21,1.431468
B10_k3_bb100k_student,term,long,21,1.379265
B10_k3_bb100k_student,term,medium_long,42,1.405124
B10_k3_bb100k_student,domain,Econ/Fin,6,1.762696
B10_k3_bb100k_student,domain,Energy,32,1.458053
B10_k3_bb100k_student,domain,Healthcare,5,1.231449
B10_k3_bb100k_student,domain,Nature,15,0.915744
B10_k3_bb100k_student,domain,Sales,4,0.865036
B10_k3_bb100k_student,domain,Transport,15,1.020091
B10_k3_bb100k_student,domain,Web/CloudOps,20,1.348631
B10_k3_bb100k_teacher,all,all,97,1.249898
B10_k3_bb100k_teacher,term,short,55,1.145402
B10_k3_bb100k_teacher,term,medium,21,1.425999
B10_k3_bb100k_teacher,term,long,21,1.377006
B10_k3_bb100k_teacher,term,medium_long,42,1.401289
B10_k3_bb100k_teacher,domain,Econ/Fin,6,1.778513
B10_k3_bb100k_teacher,domain,Energy,32,1.483740
B10_k3_bb100k_teacher,domain,Healthcare,5,1.234486
B10_k3_bb100k_teacher,domain,Nature,15,0.927078
B10_k3_bb100k_teacher,domain,Sales,4,0.857072
B10_k3_bb100k_teacher,domain,Transport,15,1.028488
B10_k3_bb100k_teacher,domain,Web/CloudOps,20,1.338724
B10_k3_bb200k_student,all,all,97,1.262434
B10_k3_bb200k_student,term,short,55,1.173162
B10_k3_bb200k_student,term,medium,21,1.420856
B10_k3_bb200k_student,term,long,21,1.359209
B10_k3_bb200k_student,term,medium_long,42,1.389691
B10_k3_bb200k_student,domain,Econ/Fin,6,2.109202
B10_k3_bb200k_student,domain,Energy,32,1.475468
B10_k3_bb200k_student,domain,Healthcare,5,1.302695
B10_k3_bb200k_student,domain,Nature,15,0.902649
B10_k3_bb200k_student,domain,Sales,4,0.859617
B10_k3_bb200k_student,domain,Transport,15,1.025553
B10_k3_bb200k_student,domain,Web/CloudOps,20,1.358032
B10_k3_bb200k_teacher,all,all,97,1.244003
B10_k3_bb200k_teacher,term,short,55,1.135012
B10_k3_bb200k_teacher,term,medium,21,1.422808
B10_k3_bb200k_teacher,term,long,21,1.382898
B10_k3_bb200k_teacher,term,medium_long,42,1.402711
B10_k3_bb200k_teacher,domain,Econ/Fin,6,1.706785
B10_k3_bb200k_teacher,domain,Energy,32,1.472745
B10_k3_bb200k_teacher,domain,Healthcare,5,1.199015
B10_k3_bb200k_teacher,domain,Nature,15,0.921229
B10_k3_bb200k_teacher,domain,Sales,4,0.885302
B10_k3_bb200k_teacher,domain,Transport,15,1.021082
B10_k3_bb200k_teacher,domain,Web/CloudOps,20,1.355284
B10_k3_bb40k_student,all,all,97,1.266942
B10_k3_bb40k_student,term,short,55,1.181471
B10_k3_bb40k_student,term,medium,21,1.411421
B10_k3_bb40k_student,term,long,21,1.365534
B10_k3_bb40k_student,term,medium_long,42,1.388288
B10_k3_bb40k_student,domain,Econ/Fin,6,1.959734
B10_k3_bb40k_student,domain,Energy,32,1.527391
B10_k3_bb40k_student,domain,Healthcare,5,1.313757
B10_k3_bb40k_student,domain,Nature,15,0.904134
B10_k3_bb40k_student,domain,Sales,4,0.876907
B10_k3_bb40k_student,domain,Transport,15,1.059856
B10_k3_bb40k_student,domain,Web/CloudOps,20,1.294380
B10_k3_bb40k_teacher,all,all,97,1.273040
B10_k3_bb40k_teacher,term,short,55,1.191774
B10_k3_bb40k_teacher,term,medium,21,1.412352
B10_k3_bb40k_teacher,term,long,21,1.363867
B10_k3_bb40k_teacher,term,medium_long,42,1.387898
B10_k3_bb40k_teacher,domain,Econ/Fin,6,2.107552
B10_k3_bb40k_teacher,domain,Energy,32,1.524884
B10_k3_bb40k_teacher,domain,Healthcare,5,1.330258
B10_k3_bb40k_teacher,domain,Nature,15,0.900641
B10_k3_bb40k_teacher,domain,Sales,4,0.860029
B10_k3_bb40k_teacher,domain,Transport,15,1.061836
B10_k3_bb40k_teacher,domain,Web/CloudOps,20,1.302653
B1_k3_bb100k_student,all,all,97,1.088055
B1_k3_bb100k_student,term,short,55,0.967641
B1_k3_bb100k_student,term,medium,21,1.258140
B1_k3_bb100k_student,term,long,21,1.279318
B1_k3_bb100k_student,term,medium_long,42,1.268685
B1_k3_bb100k_student,domain,Econ/Fin,6,1.160513
B1_k3_bb100k_student,domain,Energy,32,1.294066
B1_k3_bb100k_student,domain,Healthcare,5,1.088765
B1_k3_bb100k_student,domain,Nature,15,0.830535
B1_k3_bb100k_student,domain,Sales,4,0.769363
B1_k3_bb100k_student,domain,Transport,15,0.906006
B1_k3_bb100k_student,domain,Web/CloudOps,20,1.217319
B1_k3_bb100k_teacher,all,all,97,1.089713
B1_k3_bb100k_teacher,term,short,55,0.971460
B1_k3_bb100k_teacher,term,medium,21,1.254238
B1_k3_bb100k_teacher,term,long,21,1.279093
B1_k3_bb100k_teacher,term,medium_long,42,1.266604
B1_k3_bb100k_teacher,domain,Econ/Fin,6,1.178771
B1_k3_bb100k_teacher,domain,Energy,32,1.294899
B1_k3_bb100k_teacher,domain,Healthcare,5,1.075792
B1_k3_bb100k_teacher,domain,Nature,15,0.830668
B1_k3_bb100k_teacher,domain,Sales,4,0.778710
B1_k3_bb100k_teacher,domain,Transport,15,0.912231
B1_k3_bb100k_teacher,domain,Web/CloudOps,20,1.213672
B1_k3_bb200k_student,all,all,97,1.100873
B1_k3_bb200k_student,term,short,55,0.982301
B1_k3_bb200k_student,term,medium,21,1.247402
B1_k3_bb200k_student,term,long,21,1.309461
B1_k3_bb200k_student,term,medium_long,42,1.278055
B1_k3_bb200k_student,domain,Econ/Fin,6,1.139499
B1_k3_bb200k_student,domain,Energy,32,1.306573
B1_k3_bb200k_student,domain,Healthcare,5,1.088198
B1_k3_bb200k_student,domain,Nature,15,0.826806
B1_k3_bb200k_student,domain,Sales,4,0.771572
B1_k3_bb200k_student,domain,Transport,15,0.916231
B1_k3_bb200k_student,domain,Web/CloudOps,20,1.268788
B1_k3_bb200k_teacher,all,all,97,1.100127
B1_k3_bb200k_teacher,term,short,55,0.982367
B1_k3_bb200k_teacher,term,medium,21,1.248677
B1_k3_bb200k_teacher,term,long,21,1.303804
B1_k3_bb200k_teacher,term,medium_long,42,1.275943
B1_k3_bb200k_teacher,domain,Econ/Fin,6,1.171861
B1_k3_bb200k_teacher,domain,Energy,32,1.289603
B1_k3_bb200k_teacher,domain,Healthcare,5,1.103740
B1_k3_bb200k_teacher,domain,Nature,15,0.834019
B1_k3_bb200k_teacher,domain,Sales,4,0.773439
B1_k3_bb200k_teacher,domain,Transport,15,0.913045
B1_k3_bb200k_teacher,domain,Web/CloudOps,20,1.270437
B1_k3_bb40k_student,all,all,97,1.085024
B1_k3_bb40k_student,term,short,55,0.971134
B1_k3_bb40k_student,term,medium,21,1.242900
B1_k3_bb40k_student,term,long,21,1.266414
B1_k3_bb40k_student,term,medium_long,42,1.254602
B1_k3_bb40k_student,domain,Econ/Fin,6,1.212479
B1_k3_bb40k_student,domain,Energy,32,1.270491
B1_k3_bb40k_student,domain,Healthcare,5,1.076801
B1_k3_bb40k_student,domain,Nature,15,0.839677
B1_k3_bb40k_student,domain,Sales,4,0.775392
B1_k3_bb40k_student,domain,Transport,15,0.907128
B1_k3_bb40k_student,domain,Web/CloudOps,20,1.211015
B1_k3_bb40k_teacher,all,all,97,1.094808
B1_k3_bb40k_teacher,term,short,55,0.977941
B1_k3_bb40k_teacher,term,medium,21,1.256634
B1_k3_bb40k_teacher,term,long,21,1.281935
B1_k3_bb40k_teacher,term,medium_long,42,1.269221
B1_k3_bb40k_teacher,domain,Econ/Fin,6,1.230415
B1_k3_bb40k_teacher,domain,Energy,32,1.281551
B1_k3_bb40k_teacher,domain,Healthcare,5,1.080833
B1_k3_bb40k_teacher,domain,Nature,15,0.843978
B1_k3_bb40k_teacher,domain,Sales,4,0.783685
B1_k3_bb40k_teacher,domain,Transport,15,0.906211
B1_k3_bb40k_teacher,domain,Web/CloudOps,20,1.234403
B2_k3_bb100k_student,all,all,97,1.344275
B2_k3_bb100k_student,term,short,55,1.294200
B2_k3_bb100k_student,term,medium,21,1.438308
B2_k3_bb100k_student,term,long,21,1.387724
B2_k3_bb100k_student,term,medium_long,42,1.412789
B2_k3_bb100k_student,domain,Econ/Fin,6,2.224095
B2_k3_bb100k_student,domain,Energy,32,1.622274
B2_k3_bb100k_student,domain,Healthcare,5,1.417456
B2_k3_bb100k_student,domain,Nature,15,0.953075
B2_k3_bb100k_student,domain,Sales,4,0.967869
B2_k3_bb100k_student,domain,Transport,15,1.064185
B2_k3_bb100k_student,domain,Web/CloudOps,20,1.390508
B2_k3_bb100k_teacher,all,all,97,1.311689
B2_k3_bb100k_teacher,term,short,55,1.237624
B2_k3_bb100k_teacher,term,medium,21,1.439977
B2_k3_bb100k_teacher,term,long,21,1.391288
B2_k3_bb100k_teacher,term,medium_long,42,1.415423
B2_k3_bb100k_teacher,domain,Econ/Fin,6,2.121237
B2_k3_bb100k_teacher,domain,Energy,32,1.576939
B2_k3_bb100k_teacher,domain,Healthcare,5,1.447984
B2_k3_bb100k_teacher,domain,Nature,15,0.919061
B2_k3_bb100k_teacher,domain,Sales,4,0.878116
B2_k3_bb100k_teacher,domain,Transport,15,1.059222
B2_k3_bb100k_teacher,domain,Web/CloudOps,20,1.370407
B2_k3_bb200k_student,all,all,97,1.290362
B2_k3_bb200k_student,term,short,55,1.224809
B2_k3_bb200k_student,term,medium,21,1.409185
