arm_slug,label,step_later,drift_h,drift_e
arm6_v2_ncpc,"arm 6 v2 ncpc  (L_align→teacher + L_rep_moco, cpc=0)",150000,0.645872,0.646920
arm6_v2_ncpc,"arm 6 v2 ncpc  (L_align→teacher + L_rep_moco, cpc=0)",175000,0.747963,0.696776
arm6_v2_ncpc,"arm 6 v2 ncpc  (L_align→teacher + L_rep_moco, cpc=0)",200000,0.781474,0.723999
bimoco_ncpc,"bimoco ncpc  (L_pred_moco + L_rep_moco, cpc=0)",10000,0.516812,0.417110
bimoco_ncpc,"bimoco ncpc  (L_pred_moco + L_rep_moco, cpc=0)",20000,0.557252,0.471842
bimoco_ncpc,"bimoco ncpc  (L_pred_moco + L_rep_moco, cpc=0)",30000,0.584467,0.466143
bimoco_ncpc,"bimoco ncpc  (L_pred_moco + L_rep_moco, cpc=0)",40000,0.648143,0.508166
bimoco_ncpc,"bimoco ncpc  (L_pred_moco + L_rep_moco, cpc=0)",50000,0.677134,0.533041
bimoco_ncpc,"bimoco ncpc  (L_pred_moco + L_rep_moco, cpc=0)",75000,0.764799,0.718121
bimoco_ncpc,"bimoco ncpc  (L_pred_moco + L_rep_moco, cpc=0)",100000,0.794957,0.723059
arm1_combab,arm 1 combab  (τ=1.0 + cpc=0 + sigreg_e=0),10000,1.193144,0.960278
arm1_combab,arm 1 combab  (τ=1.0 + cpc=0 + sigreg_e=0),20000,0.976124,0.098965
arm1_combab,arm 1 combab  (τ=1.0 + cpc=0 + sigreg_e=0),30000,0.841111,0.049228
arm1_combab,arm 1 combab  (τ=1.0 + cpc=0 + sigreg_e=0),40000,0.883514,0.669856
arm1_combab,arm 1 combab  (τ=1.0 + cpc=0 + sigreg_e=0),50000,1.046314,0.552480
arm1_combab,arm 1 combab  (τ=1.0 + cpc=0 + sigreg_e=0),75000,0.900107,0.882428
arm1_combab,arm 1 combab  (τ=1.0 + cpc=0 + sigreg_e=0),100000,0.976981,1.115690
arm1_combab,arm 1 combab  (τ=1.0 + cpc=0 + sigreg_e=0),125000,1.145470,1.313149
arm1_combab,arm 1 combab  (τ=1.0 + cpc=0 + sigreg_e=0),150000,0.956331,1.908857
arm1_combab,arm 1 combab  (τ=1.0 + cpc=0 + sigreg_e=0),175000,0.963155,1.132819
arm1_combab,arm 1 combab  (τ=1.0 + cpc=0 + sigreg_e=0),200000,0.985214,0.973523
arm3_combab,arm 3 combab  (τ=1.0 + cpc=0 + sigreg_e=0),10000,0.841346,0.529745
arm3_combab,arm 3 combab  (τ=1.0 + cpc=0 + sigreg_e=0),20000,0.979869,0.904905
