step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
19500,teacher_h,adjacent,19000,500,0.000464,0.000157,0.000306,0.968718
19500,teacher_h,vs_initial,0,19500,0.861808,0.679669,0.182140,0.016212
20000,student_h,adjacent,19500,500,0.000580,0.000160,0.000420,0.977082
20000,student_h,vs_initial,0,20000,0.863093,0.679764,0.183330,0.016503
20000,teacher_h,adjacent,19500,500,0.000495,0.000151,0.000344,0.978456
20000,teacher_h,vs_initial,0,20000,0.862722,0.679801,0.182921,0.016934
20500,student_h,adjacent,20000,500,0.000553,0.000170,0.000383,0.974598
20500,student_h,vs_initial,0,20500,0.864018,0.679743,0.184276,0.015633
20500,teacher_h,adjacent,20000,500,0.000552,0.000171,0.000381,0.975272
20500,teacher_h,vs_initial,0,20500,0.864339,0.679721,0.184618,0.014783
21000,student_h,adjacent,20500,500,0.000502,0.000150,0.000351,0.977755
21000,student_h,vs_initial,0,21000,0.864752,0.679530,0.185222,0.017062
21000,teacher_h,adjacent,20500,500,0.000440,0.000139,0.000301,0.979280
21000,teacher_h,vs_initial,0,21000,0.864956,0.679553,0.185402,0.016575
21500,student_h,adjacent,21000,500,0.000522,0.000170,0.000351,0.975018
21500,student_h,vs_initial,0,21500,0.865876,0.679220,0.186656,0.018662
21500,teacher_h,adjacent,21000,500,0.000505,0.000159,0.000345,0.975495
21500,teacher_h,vs_initial,0,21500,0.865815,0.679212,0.186603,0.018630
22000,student_h,adjacent,21500,500,0.000559,0.000152,0.000407,0.975791
22000,student_h,vs_initial,0,22000,0.865503,0.679197,0.186306,0.020240
22000,teacher_h,adjacent,21500,500,0.000452,0.000150,0.000302,0.976043
22000,teacher_h,vs_initial,0,22000,0.865568,0.679112,0.186456,0.019972
22500,student_h,adjacent,22000,500,0.000558,0.000177,0.000381,0.963132
22500,student_h,vs_initial,0,22500,0.867527,0.679195,0.188332,0.020595
22500,teacher_h,adjacent,22000,500,0.000463,0.000165,0.000298,0.966766
22500,teacher_h,vs_initial,0,22500,0.867557,0.679239,0.188318,0.020500
23000,student_h,adjacent,22500,500,0.001036,0.000294,0.000742,0.944836
23000,student_h,vs_initial,0,23000,0.870258,0.679047,0.191211,0.019332
23000,teacher_h,adjacent,22500,500,0.000739,0.000270,0.000469,0.954549
23000,teacher_h,vs_initial,0,23000,0.869961,0.678979,0.190982,0.020460
23500,student_h,adjacent,23000,500,0.000758,0.000226,0.000533,0.967344
23500,student_h,vs_initial,0,23500,0.870796,0.679165,0.191631,0.019138
23500,teacher_h,adjacent,23000,500,0.000658,0.000242,0.000416,0.963144
23500,teacher_h,vs_initial,0,23500,0.870574,0.679174,0.191400,0.018802
24000,student_h,adjacent,23500,500,0.000527,0.000169,0.000358,0.974715
24000,student_h,vs_initial,0,24000,0.871324,0.679132,0.192192,0.018993
24000,teacher_h,adjacent,23500,500,0.000488,0.000158,0.000330,0.976615
24000,teacher_h,vs_initial,0,24000,0.871347,0.679060,0.192287,0.018987
24500,student_h,adjacent,24000,500,0.000489,0.000138,0.000351,0.979045
24500,student_h,vs_initial,0,24500,0.872969,0.679140,0.193829,0.019469
24500,teacher_h,adjacent,24000,500,0.000433,0.000134,0.000299,0.979264
24500,teacher_h,vs_initial,0,24500,0.872490,0.679183,0.193307,0.020166
25000,student_h,adjacent,24500,500,0.000624,0.000193,0.000431,0.974527
25000,student_h,vs_initial,0,25000,0.874255,0.678767,0.195488,0.017864
25000,teacher_h,adjacent,24500,500,0.000581,0.000183,0.000399,0.970590
25000,teacher_h,vs_initial,0,25000,0.874865,0.678943,0.195922,0.016468
25500,student_h,adjacent,25000,500,0.000685,0.000184,0.000501,0.978949
25500,student_h,vs_initial,0,25500,0.876125,0.678609,0.197516,0.016788
25500,teacher_h,adjacent,25000,500,0.000607,0.000190,0.000417,0.978482
25500,teacher_h,vs_initial,0,25500,0.876350,0.678596,0.197754,0.016511
26000,student_h,adjacent,25500,500,0.001006,0.000217,0.000789,0.978008
26000,student_h,vs_initial,0,26000,0.878803,0.678555,0.200249,0.014371
26000,teacher_h,adjacent,25500,500,0.000828,0.000191,0.000636,0.978152
26000,teacher_h,vs_initial,0,26000,0.878766,0.678658,0.200108,0.014895
26500,student_h,adjacent,26000,500,0.000822,0.000219,0.000603,0.971679
26500,student_h,vs_initial,0,26500,0.880684,0.678260,0.202424,0.016841
26500,teacher_h,adjacent,26000,500,0.000650,0.000198,0.000452,0.971677
26500,teacher_h,vs_initial,0,26500,0.880246,0.678287,0.201959,0.016444
27000,student_h,adjacent,26500,500,0.000812,0.000253,0.000560,0.962780
27000,student_h,vs_initial,0,27000,0.879907,0.678283,0.201624,0.017231
27000,teacher_h,adjacent,26500,500,0.000639,0.000217,0.000422,0.968245
27000,teacher_h,vs_initial,0,27000,0.880104,0.678411,0.201693,0.016862
27500,student_h,adjacent,27000,500,0.002011,0.000330,0.001681,0.934812
27500,student_h,vs_initial,0,27500,0.881541,0.678060,0.203481,0.017506
27500,teacher_h,adjacent,27000,500,0.001499,0.000288,0.001211,0.946064
27500,teacher_h,vs_initial,0,27500,0.881008,0.678089,0.202919,0.017200
28000,student_h,adjacent,27500,500,0.001251,0.000369,0.000883,0.944364
28000,student_h,vs_initial,0,28000,0.883846,0.677965,0.205880,0.013571
28000,teacher_h,adjacent,27500,500,0.001349,0.000372,0.000977,0.940082
28000,teacher_h,vs_initial,0,28000,0.884023,0.678034,0.205989,0.013239
28500,student_h,adjacent,28000,500,0.001048,0.000303,0.000745,0.971507
28500,student_h,vs_initial,0,28500,0.886078,0.677526,0.208552,0.014116
28500,teacher_h,adjacent,28000,500,0.000775,0.000269,0.000505,0.976094
28500,teacher_h,vs_initial,0,28500,0.886117,0.677649,0.208468,0.014071
29000,student_h,adjacent,28500,500,0.001158,0.000331,0.000828,0.960941
29000,student_h,vs_initial,0,29000,0.887599,0.677602,0.209997,0.013970
29000,teacher_h,adjacent,28500,500,0.000798,0.000283,0.000514,0.968698
29000,teacher_h,vs_initial,0,29000,0.887452,0.677628,0.209825,0.014032
29500,student_h,adjacent,29000,500,0.000801,0.000258,0.000543,0.976007
29500,student_h,vs_initial,0,29500,0.889196,0.677365,0.211831,0.014524
29500,teacher_h,adjacent,29000,500,0.000759,0.000236,0.000523,0.975058
29500,teacher_h,vs_initial,0,29500,0.888929,0.677484,0.211446,0.014143
30000,student_h,adjacent,29500,500,0.001139,0.000300,0.000839,0.969653
30000,student_h,vs_initial,0,30000,0.888759,0.676966,0.211793,0.016021
30000,teacher_h,adjacent,29500,500,0.000959,0.000267,0.000692,0.972577
30000,teacher_h,vs_initial,0,30000,0.889381,0.677093,0.212288,0.015584
30500,student_h,adjacent,30000,500,0.000970,0.000280,0.000690,0.969795
30500,student_h,vs_initial,0,30500,0.890548,0.676933,0.213616,0.015119
30500,teacher_h,adjacent,30000,500,0.000881,0.000257,0.000624,0.971775
30500,teacher_h,vs_initial,0,30500,0.890864,0.677172,0.213692,0.014334
31000,student_h,adjacent,30500,500,0.000895,0.000301,0.000594,0.968827
31000,student_h,vs_initial,0,31000,0.892186,0.676719,0.215466,0.016504
31000,teacher_h,adjacent,30500,500,0.000700,0.000270,0.000430,0.971462
31000,teacher_h,vs_initial,0,31000,0.892140,0.676869,0.215272,0.017232
31500,student_h,adjacent,31000,500,0.000944,0.000324,0.000620,0.959668
31500,student_h,vs_initial,0,31500,0.892871,0.676714,0.216157,0.016893
31500,teacher_h,adjacent,31000,500,0.000693,0.000272,0.000421,0.968128
31500,teacher_h,vs_initial,0,31500,0.893154,0.676674,0.216480,0.016754
32000,student_h,adjacent,31500,500,0.001354,0.000274,0.001080,0.967927
32000,student_h,vs_initial,0,32000,0.895937,0.676947,0.218989,0.016062
32000,teacher_h,adjacent,31500,500,0.000990,0.000244,0.000745,0.972346
32000,teacher_h,vs_initial,0,32000,0.895056,0.676932,0.218124,0.015920
32500,student_h,adjacent,32000,500,0.001067,0.000325,0.000742,0.968892
32500,student_h,vs_initial,0,32500,0.898078,0.676811,0.221267,0.014681
32500,teacher_h,adjacent,32000,500,0.000822,0.000273,0.000549,0.974137
32500,teacher_h,vs_initial,0,32500,0.898075,0.676823,0.221253,0.014306
33000,student_h,adjacent,32500,500,0.001212,0.000286,0.000926,0.977333
33000,student_h,vs_initial,0,33000,0.899042,0.676469,0.222573,0.013937
33000,teacher_h,adjacent,32500,500,0.000844,0.000260,0.000584,0.977745
33000,teacher_h,vs_initial,0,33000,0.898945,0.676545,0.222400,0.014373
33500,student_h,adjacent,33000,500,0.001291,0.000320,0.000971,0.980395
33500,student_h,vs_initial,0,33500,0.903173,0.675747,0.227426,0.014406
33500,teacher_h,adjacent,33000,500,0.000963,0.000273,0.000690,0.981798
33500,teacher_h,vs_initial,0,33500,0.902719,0.675996,0.226723,0.014361
34000,student_h,adjacent,33500,500,0.001884,0.000456,0.001428,0.950573
34000,student_h,vs_initial,0,34000,0.903624,0.675444,0.228181,0.018326
34000,teacher_h,adjacent,33500,500,0.001011,0.000315,0.000696,0.972233
34000,teacher_h,vs_initial,0,34000,0.903442,0.675650,0.227792,0.017150
34500,student_h,adjacent,34000,500,0.001362,0.000381,0.000981,0.967200
34500,student_h,vs_initial,0,34500,0.905671,0.675721,0.229950,0.015818
34500,teacher_h,adjacent,34000,500,0.000858,0.000274,0.000584,0.980046
34500,teacher_h,vs_initial,0,34500,0.905969,0.675835,0.230134,0.015406
35000,student_h,adjacent,34500,500,0.001458,0.000447,0.001011,0.961777
35000,student_h,vs_initial,0,35000,0.909995,0.675476,0.234519,0.013104
35000,teacher_h,adjacent,34500,500,0.000982,0.000328,0.000654,0.973462
35000,teacher_h,vs_initial,0,35000,0.909341,0.675618,0.233723,0.013660
35500,student_h,adjacent,35000,500,0.001228,0.000394,0.000835,0.969788
35500,student_h,vs_initial,0,35500,0.909461,0.675233,0.234228,0.015269
35500,teacher_h,adjacent,35000,500,0.001273,0.000355,0.000918,0.974931
35500,teacher_h,vs_initial,0,35500,0.910328,0.675285,0.235043,0.014295
36000,student_h,adjacent,35500,500,0.001157,0.000361,0.000796,0.969540
36000,student_h,vs_initial,0,36000,0.911126,0.675556,0.235570,0.014116
36000,teacher_h,adjacent,35500,500,0.001049,0.000359,0.000690,0.969268
36000,teacher_h,vs_initial,0,36000,0.911171,0.675556,0.235615,0.014299
36500,student_h,adjacent,36000,500,0.002072,0.000495,0.001577,0.963875
36500,student_h,vs_initial,0,36500,0.913554,0.674767,0.238788,0.013749
36500,teacher_h,adjacent,36000,500,0.001520,0.000347,0.001174,0.975999
36500,teacher_h,vs_initial,0,36500,0.913375,0.675001,0.238374,0.013728
37000,student_h,adjacent,36500,500,0.001528,0.000515,0.001013,0.955260
37000,student_h,vs_initial,0,37000,0.915471,0.674832,0.240639,0.011963
37000,teacher_h,adjacent,36500,500,0.001191,0.000429,0.000763,0.964104
37000,teacher_h,vs_initial,0,37000,0.915837,0.674765,0.241071,0.012388
37500,student_h,adjacent,37000,500,0.001632,0.000426,0.001206,0.972011
37500,student_h,vs_initial,0,37500,0.917891,0.675397,0.242494,0.011954
37500,teacher_h,adjacent,37000,500,0.001437,0.000384,0.001053,0.971819
37500,teacher_h,vs_initial,0,37500,0.917214,0.675266,0.241948,0.012306
38000,student_h,adjacent,37500,500,0.001746,0.000491,0.001255,0.971439
38000,student_h,vs_initial,0,38000,0.916899,0.675104,0.241795,0.011050
38000,teacher_h,adjacent,37500,500,0.001129,0.000383,0.000746,0.976898
38000,teacher_h,vs_initial,0,38000,0.916715,0.675158,0.241557,0.011507
38500,student_h,adjacent,38000,500,0.002081,0.000523,0.001558,0.965480
38500,student_h,vs_initial,0,38500,0.916641,0.674792,0.241849,0.013329
38500,teacher_h,adjacent,38000,500,0.001507,0.000444,0.001063,0.970964
38500,teacher_h,vs_initial,0,38500,0.917220,0.674786,0.242434,0.013026
39000,student_h,adjacent,38500,500,0.002031,0.000477,0.001554,0.969123
39000,student_h,vs_initial,0,39000,0.920470,0.674917,0.245553,0.010512
39000,teacher_h,adjacent,38500,500,0.001352,0.000383,0.000969,0.974504
39000,teacher_h,vs_initial,0,39000,0.920182,0.674870,0.245313,0.011205
39500,student_h,adjacent,39000,500,0.002537,0.000620,0.001917,0.955966
39500,student_h,vs_initial,0,39500,0.923945,0.674468,0.249477,0.013210
39500,teacher_h,adjacent,39000,500,0.002086,0.000556,0.001530,0.945154
39500,teacher_h,vs_initial,0,39500,0.921137,0.674484,0.246653,0.013799
40000,student_h,adjacent,39500,500,0.001872,0.000611,0.001261,0.959382
40000,student_h,vs_initial,0,40000,0.925086,0.674790,0.250296,0.011112
40000,teacher_h,adjacent,39500,500,0.001640,0.000552,0.001088,0.957471
40000,teacher_h,vs_initial,0,40000,0.924261,0.674639,0.249622,0.011079
40500,student_h,adjacent,40000,500,0.001898,0.000500,0.001398,0.973813
40500,student_h,vs_initial,0,40500,0.924992,0.674569,0.250423,0.011564
40500,teacher_h,adjacent,40000,500,0.001532,0.000359,0.001173,0.982764
40500,teacher_h,vs_initial,0,40500,0.925148,0.674690,0.250458,0.010900
41000,student_h,adjacent,40500,500,0.001963,0.000410,0.001553,0.973444
41000,student_h,vs_initial,0,41000,0.924866,0.674373,0.250492,0.012405
41000,teacher_h,adjacent,40500,500,0.001752,0.000397,0.001355,0.975694
41000,teacher_h,vs_initial,0,41000,0.925327,0.674342,0.250985,0.012154
41500,student_h,adjacent,41000,500,0.001689,0.000482,0.001207,0.972975
41500,student_h,vs_initial,0,41500,0.926710,0.674508,0.252201,0.012294
41500,teacher_h,adjacent,41000,500,0.001250,0.000425,0.000825,0.977233
41500,teacher_h,vs_initial,0,41500,0.927089,0.674604,0.252485,0.012296
42000,student_h,adjacent,41500,500,0.003528,0.001700,0.001828,0.919034
42000,student_h,vs_initial,0,42000,0.929167,0.672686,0.256481,0.013350
42000,teacher_h,adjacent,41500,500,0.003367,0.001891,0.001476,0.900975
42000,teacher_h,vs_initial,0,42000,0.928942,0.672620,0.256322,0.013300
42500,student_h,adjacent,42000,500,0.003371,0.001522,0.001849,0.929974
42500,student_h,vs_initial,0,42500,0.929812,0.674025,0.255786,0.011706
